Lake.Name,STN,Site.ID,Year,meanTP_yearly,Latitude,Longitude
ABERDEEN LAKE (BASS),4,1,2002,15.44166667,46.50833333,-83.81111111
ABERDEEN LAKE (BASS),4,1,2003,12.21666667,46.50833333,-83.81111111
ABERDEEN LAKE (BASS),4,1,2004,13.525,46.50833333,-83.81111111
ABERDEEN LAKE (BASS),4,1,2005,10.14166667,46.50833333,-83.81111111
ABERDEEN LAKE (BASS),4,1,2006,14.55,46.50833333,-83.81111111
ABERDEEN LAKE (BASS),4,1,2007,14.925,46.50833333,-83.81111111
ABERDEEN LAKE (BASS),4,1,2008,15.375,46.50833333,-83.81111111
ABERDEEN LAKE (BASS),4,1,2009,16.125,46.50833333,-83.81111111
ABERDEEN LAKE (BASS),4,1,2010,13.13333333,46.50833333,-83.81111111
ABERDEEN LAKE (BASS),4,1,2011,16.23333333,46.50833333,-83.81111111
ABERDEEN LAKE (BASS),4,1,2012,17.25,46.50833333,-83.81111111
ABERDEEN LAKE (BASS),4,1,2013,12.9,46.50833333,-83.81111111
ABERDEEN LAKE (BASS),4,1,2014,12.2,46.50833333,-83.81111111
ABERDEEN LAKE (BASS),4,1,2015,10.73333333,46.50833333,-83.81111111
ABERDEEN LAKE (BASS),4,1,2016,14.1,46.50833333,-83.81111111
ABERDEEN LAKE (BASS),4,1,2017,11.95,46.50833333,-83.81111111
ABERDEEN LAKE (BASS),4,2,2005,10.8,46.50333333,-83.79361111
ABERDEEN LAKE (BASS),4,4,2010,8.4,46.50611111,-83.81138889
ABERDEEN LAKE (BASS),4,4,2016,7.4,46.50611111,-83.81138889
ABITIBI LAKE,2451,1,2010,92.1,48.79305556,-80.15444444
ABITIBI LAKE,2451,1,2012,52.2,48.79305556,-80.15444444
ABITIBI LAKE,2451,1,2014,33.6,48.79305556,-80.15444444
ABITIBI LAKE,2451,1,2015,64,48.79305556,-80.15444444
ABITIBI LAKE,2451,1,2016,50.5,48.79305556,-80.15444444
ABITIBI LAKE,2451,1,2017,60.7,48.79305556,-80.15444444
ABITIBI LAKE,2451,1,2018,45.8,48.79305556,-80.15444444
ABITIBI LAKE,2451,2,2016,47.6,48.66805556,-79.73916667
ABITIBI LAKE,2451,2,2017,47.6,48.66805556,-79.73916667
ABITIBI LAKE,2451,2,2018,41.5,48.66805556,-79.73916667
ABITIBI LAKE,2451,3,2010,57.7,48.64361111,-79.89277778
ABITIBI LAKE,2451,3,2012,51.5,48.64361111,-79.89277778
ABITIBI LAKE,2451,3,2014,45.3,48.64361111,-79.89277778
ABITIBI LAKE,2451,3,2016,40.8,48.64361111,-79.89277778
ABITIBI LAKE,2451,3,2017,52.5,48.64361111,-79.89277778
ABITIBI LAKE,2451,3,2018,38.3,48.64361111,-79.89277778
ABITIBI LAKE,2451,4,2016,48.3,48.7775,-79.57638889
ABITIBI LAKE,2451,4,2017,49.7,48.7775,-79.57638889
ABITIBI LAKE,2451,9,2014,46.4,48.69444444,-79.96694444
ABITIBI LAKE,2451,10,2014,51.8,48.69083333,-79.53138889
ABITIBI LAKE,2451,11,2014,64.6,48.82027778,-80.13027778
ABITIBI LAKE,2451,12,2014,63.6,48.91388889,-80.12222222
ABITIBI LAKE,2451,13,2014,63.2,48.91361111,-80.06666667
ABITIBI LAKE,2451,14,2014,61.8,48.93333333,-79.89527778
ABITIBI LAKE,2451,15,2014,61.8,48.86694444,-79.85666667
ABITIBI LAKE,2451,16,2014,60.4,48.86916667,-79.91805556
ABITIBI LAKE,2451,17,2014,64.4,48.88055556,-79.96916667
ABITIBI LAKE,2451,18,2014,65,48.88444444,-80.03888889
ABITIBI LAKE,2451,19,2014,53.8,48.79361111,-80.07027778
ABITIBI LAKE,2451,20,2014,67,48.81222222,-80.19388889
ABITIBI LAKE,2451,21,2018,45.1,48.75166667,-79.91611111
ACHESON LAKE,10,1,2004,6.9,46.57944444,-81.90861111
ADA LAKE,15,1,2004,12.85,45.09111111,-79.64055556
ADA LAKE,15,1,2007,17.6,45.09111111,-79.64055556
ADA LAKE,15,2,2015,18.2,45.09,-79.63861111
ADA LAKE,15,2,2016,9.4,45.09,-79.63861111
ADA LAKE,15,2,2017,20.3,45.09,-79.63861111
ADA LAKE,15,2,2018,20,45.09,-79.63861111
ADA LAKE,15,2,2019,16.1,45.09,-79.63861111
ADAM'S LAKE,6931,1,2002,20.4,44.81111111,-76.21527778
ADAM'S LAKE,6931,1,2003,15.5,44.81111111,-76.21527778
ADAM'S LAKE,6931,1,2004,16.35,44.81111111,-76.21527778
ADAM'S LAKE,6931,1,2005,14,44.81111111,-76.21527778
ADAM'S LAKE,6931,1,2006,10.95,44.81111111,-76.21527778
ADAM'S LAKE,6931,1,2007,13.2,44.81111111,-76.21527778
ADAM'S LAKE,6931,1,2008,32.4,44.81111111,-76.21527778
ADAM'S LAKE,6931,1,2009,12.45,44.81111111,-76.21527778
ADAM'S LAKE,6931,1,2010,11.8,44.81111111,-76.21527778
ADAM'S LAKE,6931,1,2011,12.9,44.81111111,-76.21527778
ADAM'S LAKE,6931,1,2012,14.6,44.81111111,-76.21527778
ADAM'S LAKE,6931,1,2013,12.4,44.81111111,-76.21527778
ADAM'S LAKE,6931,1,2015,11.9,44.81111111,-76.21527778
ADAM'S LAKE,6931,1,2016,13.6,44.81111111,-76.21527778
ADAM'S LAKE,6931,1,2018,13.9,44.81111111,-76.21527778
ADAM'S LAKE,6931,1,2019,11.7,44.81111111,-76.21527778
ADAM'S LAKE,6931,3,2010,12.4,44.81,-77.77861111
ADAM'S LAKE,6931,3,2014,12,44.81,-77.77861111
ADAM'S LAKE,6931,3,2016,16.7,44.81,-77.77861111
ADMIRAL LAKE,7363,1,2004,7.6,48.32361111,-83.55
AEROBUS LAKE,25,1,2018,9.7,50.34722222,-93.35638889
AEROBUS LAKE,25,2,2018,8.9,50.30722222,-93.4175
AGIMAK LAKE,7381,1,2004,15.75,49.33638889,-91.69388889
AGIMAK LAKE,7381,1,2005,9.9,49.33638889,-91.69388889
AGIMAK LAKE,7381,1,2018,7.2,49.33638889,-91.69388889
AGIMAK LAKE,7381,1,2019,8,49.33638889,-91.69388889
AGIMAK LAKE,7381,2,2004,12.75,49.36972222,-91.69305556
AGIMAK LAKE,7381,2,2018,6.1,49.36972222,-91.69305556
AGIMAK LAKE,7381,2,2019,8,49.36972222,-91.69305556
AGIMAK LAKE,7381,3,2004,10.85,49.40361111,-91.68027778
AGIMAK LAKE,7381,3,2005,7.65,49.40361111,-91.68027778
AGIMAK LAKE,7381,3,2018,6.3,49.40361111,-91.68027778
AGIMAK LAKE,7381,3,2019,8.6,49.40361111,-91.68027778
AGNEW LAKE,6051,1,2005,6.45,46.35388889,-81.73333333
AGNEW LAKE,6051,1,2006,6,46.35388889,-81.73333333
AGNEW LAKE,6051,1,2007,6.55,46.35388889,-81.73333333
AGNEW LAKE,6051,2,2006,6,46.35416667,-81.73472222
AGNEW LAKE,6051,2,2007,5.75,46.35416667,-81.73472222
AGNEW LAKE,6051,3,2014,10.7,46.37638889,-81.66361111
AHMIC LAKE,32,1,2002,6.8,45.63055556,-79.65138889
AHMIC LAKE,32,1,2003,13.55,45.63055556,-79.65138889
AHMIC LAKE,32,1,2004,12.025,45.63055556,-79.65138889
AHMIC LAKE,32,1,2005,8.583333333,45.63055556,-79.65138889
AHMIC LAKE,32,1,2006,10.57,45.63055556,-79.65138889
AHMIC LAKE,32,1,2007,9.558333333,45.63055556,-79.65138889
AHMIC LAKE,32,1,2008,13.78,45.63055556,-79.65138889
AHMIC LAKE,32,1,2009,9.88,45.63055556,-79.65138889
AHMIC LAKE,32,1,2010,9.4,45.63055556,-79.65138889
AHMIC LAKE,32,1,2011,10.2,45.63055556,-79.65138889
AHMIC LAKE,32,1,2012,7.85,45.63055556,-79.65138889
