Lake.Name,STN,Site.ID,Year,Secchi.depth_avg,Latitude,Longitude
ABERDEEN LAKE (BASS),4,1,2000,3.8,46.50833333,-83.81111111
ABERDEEN LAKE (BASS),4,1,2001,3.3,46.50833333,-83.81111111
ABERDEEN LAKE (BASS),4,1,2002,3,46.50833333,-83.81111111
ABERDEEN LAKE (BASS),4,1,2003,2.8,46.50833333,-83.81111111
ABERDEEN LAKE (BASS),4,1,2004,2.5,46.50833333,-83.81111111
ABERDEEN LAKE (BASS),4,1,2005,4.2,46.50833333,-83.81111111
ABERDEEN LAKE (BASS),4,1,2006,4.1,46.50833333,-83.81111111
ABERDEEN LAKE (BASS),4,1,2007,3.2,46.50833333,-83.81111111
ABERDEEN LAKE (BASS),4,1,2008,4.2,46.50833333,-83.81111111
ABERDEEN LAKE (BASS),4,1,2009,2.8,46.50833333,-83.81111111
ABERDEEN LAKE (BASS),4,1,2010,4,46.50833333,-83.81111111
ABERDEEN LAKE (BASS),4,1,2011,3.2,46.50833333,-83.81111111
ABERDEEN LAKE (BASS),4,1,2012,4,46.50833333,-83.81111111
ABERDEEN LAKE (BASS),4,1,2014,3.4,46.50833333,-83.81111111
ABERDEEN LAKE (BASS),4,1,2015,3.4,46.50833333,-83.81111111
ABERDEEN LAKE (BASS),4,1,2017,4,46.50833333,-83.81111111
ABERDEEN LAKE (BASS),4,2,2005,3.2,46.50333333,-83.79361111
ABITIBI LAKE,2451,1,2015,0.3,48.79305556,-80.15444444
ABITIBI LAKE,2451,1,2018,0.4,48.79305556,-80.15444444
ABITIBI LAKE,2451,2,2018,0.4,48.66805556,-79.73916667
ABITIBI LAKE,2451,3,2018,0.4,48.64361111,-79.89277778
ABITIBI LAKE,2451,21,2018,0.4,48.75166667,-79.91611111
ADA LAKE,15,1,2004,5,45.09111111,-79.64055556
ADA LAKE,15,1,2007,1.9,45.09111111,-79.64055556
ADA LAKE,15,1,2019,1.9,45.09111111,-79.64055556
ADA LAKE,15,2,2015,1.7,45.09,-79.63861111
ADA LAKE,15,2,2016,1.7,45.09,-79.63861111
ADA LAKE,15,2,2017,1.9,45.09,-79.63861111
ADA LAKE,15,2,2018,1.9,45.09,-79.63861111
ADAM'S LAKE,6931,1,1996,3.9,44.81111111,-76.21527778
ADAM'S LAKE,6931,1,1997,3.6,44.81111111,-76.21527778
ADAM'S LAKE,6931,1,1998,3.7,44.81111111,-76.21527778
ADAM'S LAKE,6931,1,1999,3.7,44.81111111,-76.21527778
ADAM'S LAKE,6931,1,2000,3.6,44.81111111,-76.21527778
ADAM'S LAKE,6931,1,2001,2.7,44.81111111,-76.21527778
ADAM'S LAKE,6931,1,2002,3.3,44.81111111,-76.21527778
ADAM'S LAKE,6931,1,2003,3.9,44.81111111,-76.21527778
ADAM'S LAKE,6931,1,2004,4.2,44.81111111,-76.21527778
ADAM'S LAKE,6931,1,2005,4.2,44.81111111,-76.21527778
ADAM'S LAKE,6931,1,2006,5.4,44.81111111,-76.21527778
ADAM'S LAKE,6931,1,2007,5,44.81111111,-76.21527778
ADAM'S LAKE,6931,1,2008,4.6,44.81111111,-76.21527778
ADAM'S LAKE,6931,1,2009,4.5,44.81111111,-76.21527778
ADAM'S LAKE,6931,1,2010,5.3,44.81111111,-76.21527778
ADAM'S LAKE,6931,1,2011,4.4,44.81111111,-76.21527778
ADAM'S LAKE,6931,1,2012,5.2,44.81111111,-76.21527778
ADAM'S LAKE,6931,1,2013,5,44.81111111,-76.21527778
ADAM'S LAKE,6931,1,2015,4.5,44.81111111,-76.21527778
ADAM'S LAKE,6931,1,2016,4.1,44.81111111,-76.21527778
ADAM'S LAKE,6931,1,2018,3.7,44.81111111,-76.21527778
ADAM'S LAKE,6931,1,2019,4.3,44.81111111,-76.21527778
ADAM'S LAKE,6931,3,2014,3.6,44.81,-77.77861111
AEROBUS LAKE,25,1,2018,3.5,50.34722222,-93.35638889
AEROBUS LAKE,25,2,2018,2.3,50.30722222,-93.4175
AGIMAK LAKE,7381,1,2018,2.8,49.33638889,-91.69388889
AGIMAK LAKE,7381,1,2019,2.4,49.33638889,-91.69388889
AGIMAK LAKE,7381,2,2018,3.3,49.36972222,-91.69305556
AGIMAK LAKE,7381,2,2019,2.2,49.36972222,-91.69305556
AGIMAK LAKE,7381,3,2018,2,49.40361111,-91.68027778
AGIMAK LAKE,7381,3,2019,2.3,49.40361111,-91.68027778
AGNEW LAKE,6051,1,2006,3.8,46.35388889,-81.73333333
AGNEW LAKE,6051,2,2006,2.9,46.35416667,-81.73472222
AGNEW LAKE,6051,3,2014,2.5,46.37638889,-81.66361111
